anga,CC_so,coordinating conjunction,nevenschikkend voegwoord,сочинительный союз,and,en,,,
dan,CC_so,coordinating conjunction,nevenschikkend voegwoord,сочинительный союз,then (used to indicate the succession of events in a narration),dan,,,
dat'ede,CC_so,coordinating conjunction,nevenschikkend voegwoord,сочинительный союз,therefore,daarom,,,
esko,CC_so,coordinating conjunction,nevenschikkend voegwoord,сочинительный союз,indeed,trouwens,"Te mi friyari, sma no abi fu kon. Esko mi no abi noti.",Nobody has to come on my birthday. Indeed I have nothing to offer them.,Als ik jarig ben hoeft niemand te komen. Trouwens ik heb niets te bieden.
dat' meki,CC_so,coordinating conjunction,nevenschikkend voegwoord,сочинительный союз,therefore,daarom,Mi brom no ben abi oli. Dat' meki mi no ben man kon esde.,My motorbike didn’t have any gas. Therefore I couldn’t come yesterday.,Mijn bromfiets had geen benzine. Daarom kon ik gisteren niet komen.
so,CC_so,coordinating conjunction,nevenschikkend voegwoord,сочинительный союз,"so, therefore, as a result, then","zo, dus","Tamara mi mu go na datra. So, i no abi fu kon na wroko.",Tomorrow I need to go to the doctor. So you don’t have to come to work.,Morgen moet ik naar de dokter. Dus je hoeft niet te komen.
sobun,CC_so,coordinating conjunction,nevenschikkend voegwoord,сочинительный союз,sometimes,soms ook,Den ben prei fu hebi moni. Sobun den ben prei fu wan srafu.,They played for a lot of money. Sometimes they played for a slave.,"Ze speelden voor veel geld, soms ook voor een slaaf."
ne,CC_so,coordinating conjunction,nevenschikkend voegwoord,сочинительный союз,"then, indicates that something happened at the same time",duidt aan dat iets op hetzelfde tijdstip gebeurd,"Di mi opo a doro, ne mi si Hendrik e kon.","When I opened the door, (at that moment) I saw Hendrik coming.","Toen ik de deur open deed, zag ik n‚t (op dat moment) dat Hendrik eraan kwam."
we,CC_so,coordinating conjunction,nevenschikkend voegwoord,сочинительный союз,"sentence introducer, or attention getter, well",inleidings partikel of uitroep,"Yu o kon tamara? We, mi no sabi.","You’re coming tomorrow? Well, I don’t know.","Kom je morgen? Wel, ik weet het niet."
èn,CC_and,coordinating conjunction,nevenschikkend voegwoord,сочинительный союз,and,en,Boiki papa ben prani gruntu èn a ben kweki fowru nanga wan kaw.,"Boiki’s father grew vegetables, and he raised chickens and a cow.",Boiki's vader plantte groenten en hij kweekte kippen en een koe.
nanga,CC_and,coordinating conjunction,nevenschikkend voegwoord,сочинительный союз,and,en,Boiki papa ben kweki fowru nanga wan kaw.,Boiki’s father raised chickens and a cow.,Boiki's vader kweekte kippen en een koe.
ma,CC_or,coordinating conjunction,nevenschikkend voegwoord,сочинительный союз,introduces important new information,wordt gebruikt als aandachtstrekker aan het begin van nieuwe informatie in een verhaal,Josef teki en wefi Maria fu go nanga en na Betlehem. Ma Maria ben abi bere.,Joseph took his wife Mary with him to Bethlehem. But Mary was pregnant.,Jozef ging samen met zijn vrouw Maria naar Betlehem. Maar Maria was zwanger.
noso,CC_or,coordinating conjunction,nevenschikkend voegwoord,сочинительный союз,"otherwise, or","anders, of, indien niet",Yu no mus go drape noso yu o kisi mankeri.,You must not go there or you’ll get hurt.,Je moet daar niet gaan anders zal je een ongeluk krijgen.
toku,CC_or,coordinating conjunction,nevenschikkend voegwoord,сочинительный союз,"still, yet, nevertheless",toch,"Mi gi yu mi karta fu go na a kino, ma toku yu no go.","I gave you my ticket to go to the movie, but still you didn’t go.","Ik heb je mijn kaart gegeven om naar de bioscoop te gaan, maar je bent toch niet gegaan."
wèl,CC_so,coordinating conjunction,nevenschikkend voegwoord,сочинительный союз,"sentence introducer, or attention getter, well",inleidings partikel of uitroep,,,
dus,CC_so,coordinating conjunction,nevenschikkend voegwoord,сочинительный союз,"sentence introducer, or attention getter, well",inleidings partikel of uitroep,,,
