baka,INL,locational preposition,locatief voorzetel,местный предлог,behind,achter,Den sneisi e kibri sukru baka a toonbangi.,The Chinese (shopkeepers) hide sugar behind the counter.,De chinese winkeliers verbergen suiker achter de toonbank.
fesi,INL,locational preposition,locatief voorzetel,местный предлог,in front of,voor,"Wan bigi dagu e sidon fesi a doro, dat meki mi no o go insei.","A big dog is sitting in front of the door, that’s why I won’t go inside.","Er zit een grote hond voor de deur, daarom ga ik niet naar binnen."
fu,INL,locational preposition,locatief voorzetel,местный предлог,from,"uit, van",Mi bai pinda fu a frow dati.,I bought peanuts from that lady.,Ik heb pinda's van die vrouw gekocht.
ini,INL,locational preposition,locatief voorzetel,местный предлог,"in, within",in,A bedi de na ini a kamra.,The bed is in the (bed)room.,Het bed is in de (slaap)kamer.
mindri,INL,locational preposition,locatief voorzetel,местный предлог,between,tussen,Fa a boi kan psa mindri den tu oto?,How can the boy pass between the two cars?,Hoe kan de jongen tussen beide auto's passeren?
na,LOC,locational preposition,locatief voorzetel,местный предлог,locative preposition,voorzetsel dat de plaats aanduidt,Poti a sensi a tapu a tafra.,Put the money on the table.,Zet het geld op de tafel.
ondro,INL,locational preposition,locatief voorzetel,местный предлог,"under, among",onder,A dagu didon ondro a tafra.,The dog is lying under the table.,De hond ligt onder de tafel.
tapu,INL,locational preposition,locatief voorzetel,местный предлог,"on, above, on top of","op, bovenop, top",A nyanyan de tapu a tafra.,The food is on the table.,Het eten is op tafel.
a,LOC,locational preposition,locatief voorzetel,местный предлог,locative preposition,voorzetsel dat de plaats aanduidt,,,
abra,INL,locational preposition,locatief voorzetel,местный предлог,across from,tegenover,Mi e tan abra a kerki.,I live across from the church.,Ik woon tegenover de kerk.
in',INL,locational preposition,locatief voorzetel,местный предлог,"in, within",in,,,
abrasei fu,INL,locational preposition,locatief voorzetel,местный предлог,"opposite, across from","tegenover, aan de overkant van","Den birtisma san e tan abrasei fu mi, o go tamara na Ptata.",The neighbors that live across (the street) from me leave tomorrow for Holland.,"De buren die aan de overkant van mij wonen, vertrekken morgen naar Nederland."
uit,INL,locational preposition,locatief voorzetel,местный предлог,from,"uit, van",,,
