aiti,NUMB_cd,numeral,telwoord,числительное,eight,acht,,,
aititenti,NUMB_cd,numeral,telwoord,числительное,eighty,tachtig,,,
dri,NUMB_cd,numeral,telwoord,числительное,three,drie,,,
dritenti,NUMB_cd,numeral,telwoord,числительное,thirty,dertig,,,
dusun,NUMB_cd,numeral,telwoord,числительное,thousand,duizend,,,
dusundusun,NUMB_cd,numeral,telwoord,числительное,thousand-thousand,duizenden,,,
erfu,NUMB_cd,numeral,telwoord,числительное,eleven,elf,,,
feifi,NUMB_cd,numeral,telwoord,числительное,five,vijf,,,
feifitenti,NUMB_cd,numeral,telwoord,числительное,fifty,vijftig,,,
fo,NUMB_cd,numeral,telwoord,числительное,four,vier,,,
fosi,NUMB_od,numeral,telwoord,числительное,first,eerst(e),Mi na a fosi pikin fu mi mama.,I am my mother’s first child.,Ik ben het eerste kind van mijn moeder.
fotenti,NUMB_cd,numeral,telwoord,числительное,forty,veertig,,,
hondro,NUMB_cd,numeral,telwoord,числительное,hundred,honderd,,,
hondru,NUMB_cd,numeral,telwoord,числительное,hundred,honderd,,,
milyun,NUMB_cd,numeral,telwoord,числительное,million,miljoen,,,
milyun-milyun,NUMB_cd,numeral,telwoord,числительное,million-million,miljoenen,,,
neigi,NUMB_cd,numeral,telwoord,числительное,nine,negen,,,
neigitenti,NUMB_cd,numeral,telwoord,числительное,ninety,negentig,,,
seibi,NUMB_cd,numeral,telwoord,числительное,seven,zeven,,,
seibitenti,NUMB_cd,numeral,telwoord,числительное,seventy,zeventig,,,
siksi,NUMB_cd,numeral,telwoord,числительное,six,zes,,,
siksitenti,NUMB_cd,numeral,telwoord,числительное,sixty,zestig,,,
tin,NUMB_cd,numeral,telwoord,числительное,ten,tien,,,
tin-na-aiti,NUMB_cd,numeral,telwoord,числительное,eighteen,achttien,,,
tin-na-dri,NUMB_cd,numeral,telwoord,числительное,thirteen,dertien,,,
tin-na-feifi,NUMB_cd,numeral,telwoord,числительное,fifteen,vijftien,,,
tin-na-fo,NUMB_cd,numeral,telwoord,числительное,fourteen,veertien,,,
tin-na-neigi,NUMB_cd,numeral,telwoord,числительное,nineteen,negentien,,,
tin-na-seibi,NUMB_cd,numeral,telwoord,числительное,seventeen,zeventien,,,
tin-na-siksi,NUMB_cd,numeral,telwoord,числительное,sixteen,zestien,,,
tu,NUMB_cd,numeral,telwoord,числительное,two,twee,,,
tutenti,NUMB_cd,numeral,telwoord,числительное,twenty,twintig,,,
twarfu,NUMB_cd,numeral,telwoord,числительное,twelve,twaalf,,,
twenti,NUMB_cd,numeral,telwoord,числительное,twenty,twintig,,,
wan,NUMB_cd,numeral,telwoord,числительное,one,een,,,
