fosi,NUMB_od,numeral,telwoord,числительное,first,eerste
di fu tu,NUMB_od,numeral,telwoord,числительное,second,tweede
di fu dri,NUMB_od,numeral,telwoord,числительное,third,derde
di fu fo,NUMB_od,numeral,telwoord,числительное,fourth,vierde
di fu feifi,NUMB_od,numeral,telwoord,числительное,fifth,fijfde
di fu siksi,NUMB_od,numeral,telwoord,числительное,sixth,zesde
di fu seibi,NUMB_od,numeral,telwoord,числительное,seventh,zevende
di fu aiti,NUMB_od,numeral,telwoord,числительное,eighth,achtste
di fu neigi,NUMB_od,numeral,telwoord,числительное,ninth,negende
di fu tien,NUMB_od,numeral,telwoord,числительное,tenth,tiende
di fu erfu,NUMB_od,numeral,telwoord,числительное,eleventh,elfde
di fu twarfu,NUMB_od,numeral,telwoord,числительное,twelfth,twaalfde
eerde,NUMB_od,numeral,telwoord,числительное,first,eerste
tweede,NUMB_od,numeral,telwoord,числительное,second,tweede
derde,NUMB_od,numeral,telwoord,числительное,third,derde
vierde,NUMB_od,numeral,telwoord,числительное,fourth,vierde
fijfde,NUMB_od,numeral,telwoord,числительное,fifth,fijfde
zesde,NUMB_od,numeral,telwoord,числительное,sixth,zesde
zevende,NUMB_od,numeral,telwoord,числительное,seventh,zevende
achtste,NUMB_od,numeral,telwoord,числительное,eighth,achtste
negende,NUMB_od,numeral,telwoord,числительное,ninth,negende
tiende,NUMB_od,numeral,telwoord,числительное,tenth,tiende
elfde,NUMB_od,numeral,telwoord,числительное,eleventh,elfde
twaalfde,NUMB_od,numeral,telwoord,числительное,twelfth,twaalfde
