afu,AB,quantifier,numerieke bepaling,квантификатор,half,"half, de helft",,,
ala,AB_pre,quantifier,numerieke bepaling,квантификатор,all,"al, alles, allemaal",Den pikin nyan ala a froktu ini a baki.,The children ate all the fruit on the tray.,De kinderen hebben al de vruchten uit de bak opgegeten.
enkri,AB,quantifier,numerieke bepaling,квантификатор,"only, single","enkel, enige","No wan sma ben man trowstu a frow, bika a lasi en enkri pikin di a oso bron.","No one could comfort the woman, because she lost her only child when the house burned.",Niemand kon de vrouw troosten omdat zij haar enige kind verloren heeft toen het huis afbrandde.
furu,AB,quantifier,numerieke bepaling,квантификатор,"much, many",veel,,,
ibri,AB,quantifier,numerieke bepaling,квантификатор,every,elk(e),"Ibri bon san no e gi bun froktu, den o kapu trowe.","Every tree that does not give good fruit, they will chop down.","Elke boom die geen goede vruchten geeft, zullen ze omhakken."
iniwan,AB,quantifier,numerieke bepaling,квантификатор,any one,welk(e),Yu kan teki iniwan fu den.,You can take any one of them.,Je mag nemen welke je wilt.
moro,AB,quantifier,numerieke bepaling,квантификатор,more,meer,Poti moro watra ini a embre.,Put more water in the bucket.,Doe meer water in de emmer.
no wan,AB,quantifier,numerieke bepaling,квантификатор,"none at all, not one","geen enkel, niet één",A no abi no wan pikin.,She has not one single child.,Ze heeft geen enkel kind.
nofo,AB,quantifier,numerieke bepaling,квантификатор,enough,genoeg,A batra abi nofo watra.,The bottle has enough water in it.,De fles heeft genoeg water.
noti,AB,quantifier,numerieke bepaling,квантификатор,nothing,niets,A: San psa nanga yu? B: Noti no psa nanga mi.,A: What happened to you? B: Nothing has happened to me.,A: Wat is er met jou aan de hand? B: Niets is met mij aan de hand.
omeni,AB,quantifier,numerieke bepaling,квантификатор,"how many, how much",hoeveel,Mi no sabi omeni sma o kon.,I don’t know how many people will come.,Ik weet niet hoeveel mensen er zullen komen.
pikinso,AB,quantifier,numerieke bepaling,квантификатор,a little,"een beetje, weinig",A fufuruman gwe nanga a pikinso moni san mi ben kibri.,The thief ran off with the little money that I had set aside.,De dief is weggegaan met het klein beetje geld dat ik bewaard had.
someni,AB,quantifier,numerieke bepaling,квантификатор,"so many, so much",zoveel,"A abi someni moni, tak' a no sabi san a mus du nanga en.",She has so much money that she doesn’t know what to do with it.,Zij heeft zoveel geld dat ze niet weet wat ze ermee moet doen.
son,AB,quantifier,numerieke bepaling,квантификатор,some,sommige,Yu no e ferstan son sani te bigisma taki.,You don’t understand some things when old people speak.,"Wanneer de ouderen spreken, begrijp je sommige dingen niet."
sowan,AB,quantifier,numerieke bepaling,квантификатор,of the same kind,"zo een, soortgelijke",Mi wani bai sowan oloisi.,I want to buy such a watch.,Ik wil zo'n horloge kopen.
trawan,AB,quantifier,numerieke bepaling,квантификатор,"the other, the next one","andere, de volgende","Yu krin a wan susu, san meki yu no krin a trawan?","You cleaned the one shoe, why didn’t you clean the other?","Je hebt de ene schoen schoongemaakt, waarom de andere niet?"
wantu,AB,quantifier,numerieke bepaling,квантификатор,"indefinite quantifier, some, a few",onbepaalde hoeveelheidsaanduiding,"Di mi go na wowoyo mi bai gruntu, kasaba nanga wantu tra sani.","When I went to the market I bought greens, cassava and some other things.","Toen ik naar de markt ging, kocht ik groenten, kassave en een paar andere dingen."
bun furu,AB,quantifier,numerieke bepaling,квантификатор,"very much, in abundance","heel veel, erg veel",,,
ipi,AB,quantifier,numerieke bepaling,квантификатор,"many, a lot",veel,Mi abi ipi krosi fu wasi.,I His mind is not good (i.e. he is crazy).ve got a lot of clothes to wash.,Ik heb veel kleren om te wassen.
wan lo,AB,quantifier,numerieke bepaling,квантификатор,"a lot, lots, many","heel veel, een heleboel, heel wat",Yu abi wan lo sani fanowdu fu meki fiadu.,You need a lot of things to make fiadu.,Je heb een heleboel dingen nodig om fiadu te maken.
wanwan,AB,quantifier,numerieke bepaling,квантификатор,very few,"enkele, enige","Sowan feestedei, dan wanwan sma nomo de na strati!","Such a holiday, and only a very few people are on the street!","Zo'n feestdag, en je ziet maar enkele mensen op straat!"
sari,AB,quantifier,numerieke bepaling,квантификатор,enough,"voldoende, genoeg","Awinsi a kon begi mi tapu en kindi, a no o sari gi mi.","Even if he comes and begs me on his knees, it will not be enough for me.","Ook al komt hij me op de knieën smeken, zal het niet genoeg voor me zijn."
