dei,RN,nominal adverb,nominaal bijwoord,номинальное наречие,day,dag,,,
esde,RN,nominal adverb,nominaal bijwoord,номинальное наречие,yesterday,gisteren,,,
esrede,RN,nominal adverb,nominaal bijwoord,номинальное наречие,yesterday,gisteren,,,
mun,RN,nominal adverb,nominaal bijwoord,номинальное наречие,month,maand,Te mun tapu yu o kisi a moni.,At the end of the month you’ll get the money.,Eind van de maand krijg je dat geld.
tamara,RN,nominal adverb,nominaal bijwoord,номинальное наречие,tomorrow,morgen (na heden),,,
ten,RN,nominal adverb,nominaal bijwoord,номинальное наречие,time,tijd,Tide mi no abi ten fu kon na yu.,Today I don’t have time to come to you.,Vandaag heb ik geen tijd om bij jou te komen.
tide,RN,nominal adverb,nominaal bijwoord,номинальное наречие,today,vandaag,,,
trayari,RN,nominal adverb,nominaal bijwoord,номинальное наречие,next year,volgend jaar,,,
wiki,RN,nominal adverb,nominaal bijwoord,номинальное наречие,next week,volgend week,,,
yari,RN,nominal adverb,nominaal bijwoord,номинальное наречие,year,jaar,A yari tapu.,The year is passed.,Het jaar is om.
yuru,RN,nominal adverb,nominaal bijwoord,номинальное наречие,"hour, time, ... o’clock","uur, tijd",San na a yuru?,What time is it?,Hoe laat is het? (Lett: Wat is de tijd?)
bakadina,RN,nominal adverb,nominaal bijwoord,номинальное наречие,afternoon (around 3 to 6 PM),middag (tussen 15:00u en 18:00u),,,
brekten,RN,nominal adverb,nominaal bijwoord,номинальное наречие,noontime (around 12:00 to 3:00 PM),middag (tussen 12:00 en 3:00 n.m.),,,
deiten,RN,nominal adverb,nominaal bijwoord,номинальное наречие,daytime,overdag,,,
mamanten,RN,nominal adverb,nominaal bijwoord,номинальное наречие,morning,"'s morgens, 's ochtends",,,
mindrineti,RN,nominal adverb,nominaal bijwoord,номинальное наречие,"midnight, in the middle of the night","middernacht, midden in de nacht",,,
mofoneti,RN,nominal adverb,nominaal bijwoord,номинальное наречие,"evening (roughly from 6 to 7:30), early evening","avondschemering, vooravond (van 6:00 tot 7:30 nm)",A: O lati yu o kon na oso? B: Te mofoneti.,A: What time are you coming home? B: In the evening.,A: Hoe laat kom je thuis? B: In de vooravond.
neti,RN,nominal adverb,nominaal bijwoord,номинальное наречие,nighttime,tijdstip na zonsondergang en voor zonsopgang,Te neti yuru dan birman nanga en frow lobi go teki wan koiri.,In the evening the neighbors like to take a walk.,Buurman en buurvrouw zijn gewend 's avonds een wandeling te maken.
dridewroko,RN,nominal adverb,nominaal bijwoord,номинальное наречие,Wednesday,woensdag,,,
fodewroko,RN,nominal adverb,nominaal bijwoord,номинальное наречие,Thursday,donderdag,,,
freida,RN,nominal adverb,nominaal bijwoord,номинальное наречие,Friday,vrijdag,,,
munde,RN,nominal adverb,nominaal bijwoord,номинальное наречие,Monday,maandag,,,
musudei,RN,nominal adverb,nominaal bijwoord,номинальное наречие,early morning before daybreak (between 3 and 5 AM),"'s morgens vroeg, tussen 3:00 en 5:00 uur v.m.",,,
satra,RN,nominal adverb,nominaal bijwoord,номинальное наречие,Saturday,zaterdag,,,
sonde,RN,nominal adverb,nominaal bijwoord,номинальное наречие,Sunday,zondag,,,
tudewroko,RN,nominal adverb,nominaal bijwoord,номинальное наречие,Tuesday,dinsdag,,,
tide neti,RN,nominal adverb,nominaal bijwoord,номинальное наречие,tonight,"vanavond, vannacht",,,
