aksi,VB_fact,verb,werkwoord,глагол,"ask, request","vragen, verzoeken",Ifrow aksi mi san meki mi kon so lati.,The teacher asked me why I came so late.,De juffrouw vroeg me waarom ik zo laat was.
howpu,VB_fact,verb,werkwoord,глагол,hope,hopen,Mi e howpu taki mi kan kon tamara.,I hope I can come tomorrow.,Ik hoop dat ik morgen kan komen.
pramisi,VB_fact,verb,werkwoord,глагол,promise,beloven,A pramisi mi tak' a no o dringi sopi moro.,He promised me that he would not drink booze anymore.,Hij heeft me beloofd dat hij geen alcohol meer zou gebruiken.
taigi,VB_fact,verb,werkwoord,глагол,tell someone something,"vertellen, mededelen, zeggen aan","Go luku efu omu abi sukru, dan yu kon taigi mi wantron.","Go look if the Chinese store has sugar, then come tell me right away.","Ga kijken of de chinees suiker heeft, dan kom je het me meteenzeggen."
taki,VB_fact,verb,werkwoord,глагол,"talk, say, speak","zeggen, praten, spreken",Den taki dat den o kon tu yuru.,They said that they would come at two o’clock.,Ze hebben gezegd dat ze om twee uur zullen komen.
winsi,VB_fact,verb,werkwoord,глагол,"wish, hope",wensen,,,
gersi,VB_fact,verb,werkwoord,глагол,"resemble, seems","lijken op, schijnen",A meisje gersi en mama.,The girl resembles her mother.,Het meisje lijkt op haar moeder.
si,VB_fact,verb,werkwoord,глагол,see,zien,Yu kan si tak' a man disi no teki skoro.,You can see that this man has not gone to school.,Je kan zien dat deze man geen onderwijs heeft genoten.
smeri,VB_fact,verb,werkwoord,глагол,smell,ruiken,Smeri a nyanyan gi mi efu a no swa.,Smell the food for me to see if it is spoiled.,Ruik voor me of het eten bedorven is.
yere,VB_fact,verb,werkwoord,глагол,"hear, listen","horen, luisteren, vernemen",Mi ben yere a dagu e bari.,I heard the dog barking.,Ik hoorde de hond blaffen.
bribi,VB_fact,verb,werkwoord,глагол,believe,"geloven, vermoeden","Yu no bribi lei, yu no bribi tru.",Believe it or not!,Je gelooft 't of niet.
denki,VB_fact,verb,werkwoord,глагол,think,denken,Fa yu denki?,What do you think?,Wat denk je ervan?
fergiti,VB_fact,verb,werkwoord,глагол,forget,vergeten,Mi fergiti fu go teki den pikin tide.,I forgot to pick up the children today.,Vandaag ben ik vergeten om de kinderen op te halen.
ferstan,VB_fact,verb,werkwoord,глагол,to understand,"verstaan, begrijpen",A boi disi no e ferstan san yu e taigi en.,This boy doesn’t understand what you say.,Deze jongen begrijpt niet wat je hem zegt.
memre,VB_fact,verb,werkwoord,глагол,remember,zich herinneren,Mi no man memre moro san yu ben taigi mi.,I cannot remember anymore what you told me.,Ik kan me niet meer herinneren wat je me gezegd hebt.
prakseri,VB_fact,verb,werkwoord,глагол,think,denken,Mi no prakseri tak' mi o kmopo na oso tide.,I don’t think I’ll leave the house today.,Ik denk niet dat ik van huis ga vandaag.
sabi,VB_fact,verb,werkwoord,глагол,know,"weten, kennen",Den sma dati sabi a busi. Noiti den lasi pasi.,"Those people know the jungle, They never get lost.",Die mensen kennen het bos. Ze zijn nooit verdwaald.
breiti,VB_fact,verb,werkwoord,глагол,"glad, happy, cheerful, merry","blij, gelukkig, vrolijk",,,
frede,VB_fact,verb,werkwoord,глагол,"be afraid, fear","bang zijn, vrezen",Yu no mus frede ini yu eigi oso.,You shouldn’t be afraid in your own house.,Je moet niet bang zijn in je eigen huis.
lobi,VB_fact,verb,werkwoord,глагол,like,"houden van, opschieten met",Mi no lobi fa a boi disi e tan. Noiti a e arki te yu taki nanga en.,I don’t like the way this boy is. He never listens to what you say.,Ik kan niet met deze jongen opschieten. Hij luistert nooit naar wat je zegt.
sari,VB_fact,verb,werkwoord,глагол,"to be sorry, regret, sad",spijten,A boi sari dat a naki en pikin brada.,The boy was sorry that he hit his little brother.,Het speet de jongen dat hij zijn broertje had geslagen.
